AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
6912.295,Canada,696.8365,696.8365,696.8365,397.4038,397403.8,1106676,696836.4,1110783,339.8117,339.8117,56,-68,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,607.8,80.22,34.03,17.78,592.2396552,73.03802933,1,1,0.04,133,-5.05,-5.078017241,11.43,-23.65,12.92,1.286067544,3,2/1/11,,,,,,,,,
6912.295,Canada,692.1366,692.1366,692.1366,389.9482,389948.2,1121580,692136.6,1128041,364.4116,364.4116,56,-67,Canada,14,0,0,0,0,124,0,0,0,0,0,0,0,0,626.7,80.64,34.36,17.65,602.1965517,77.74105418,1,1,0.04,133,-5.15,-5.003663828,11.13,-23.26,12.62,1.263822193,3,2/1/11,,,,,,,,,
6912.295,Canada,689.274,689.274,689.274,392.1208,392120.8,1140086,689274,1148803,438.0357,438.0357,56,-66,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,626.7,84.36,37.15,17.1,597.1155172,83.51025264,1,1,0.06,2,-5.73,-5.500790241,10.49,-23.14,12.3,1.246003437,3,2/1/11,,,,,,,,,
53.86986,Canada,1083.609,1083.609,1083.609,861.2357,861235.7,1295641,1083609,1293175,58.52621,58.52621,57,-78,Canada,0,0,0,0,0,124,0,0,0,0,0,0,0,0,457.6,72.1,14.7,21.56,#DIV/0!,#DIV/0!,0.5,0.008,0.1,0,-6.9,#DIV/0!,9.2,-25,12.87,#DIV/0!,3,2/1/11,,,,,,,,,
6733.733,Canada,986.819,986.819,986.819,758.6304,758630.4,1222919,986819,1219576,206.498,206.498,57,-76,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,493.5,81.41,20.47,22.28,513.4836207,45.08177851,1,1,0.03,2,-7.1,-6.756034414,9.34,-24.78,12.83,1.378562923,3,2/1/11,,,,,,,,,
6733.733,Canada,951.7896,951.7896,951.7896,713.6154,713615.4,1211303,951789.6,1207256,241.3138,241.3138,57,-75,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,505.5,83.09,22.36,21.97,511.45,43.084525,1,1,0.05,2,-7.03,-7.214726966,9.46,-24.68,12.84,1.307811858,3,2/1/11,,,,,,,,,
6733.733,Canada,919.7481,919.7481,919.7481,671.2083,671208.3,1203103,919748.1,1198346,289.1279,289.1279,57,-74,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,517.2,83.78,23.99,21.53,517.6465483,44.65847023,1,1,0.04,2,-6.13,-6.428592034,9.6,-24.54,12.84,1.256621011,3,2/1/11,,,,,,,,,
6733.733,Canada,890.9845,890.9845,890.9845,631.9401,631940.1,1198388,890984.5,1192926,316.6245,316.6245,57,-73,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,528.8,83.49,25.54,20.9,536.9836207,44.59358151,1,1,0.03,2,-5.45,-5.847988552,9.73,-24.52,12.84,1.246065198,3,2/1/11,,,,,,,,,
6733.733,Canada,865.8118,865.8118,865.8118,596.4362,596436.2,1196606,865811.8,1191041,310.0436,310.0436,57,-72,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,539.1,82.05,27.12,19.96,549.593969,45.62243112,1,1,0.04,2,-4.93,-5.672988483,9.87,-24.48,12.84,1.259186026,3,2/1/11,,,,,,,,,
6733.733,Canada,844.6101,844.6101,844.6101,565.4109,565410.9,1196231,844610.1,1192711,275.9396,275.9396,57,-71,Canada,22,0,0,0,0,124,0,0,0,0,0,0,0,0,545.4,79.21,28.64,18.61,551.525,53.95923933,1,1,0.06,2,-4.9,-5.635704,10.14,-24.28,12.87,1.284510108,3,2/1/11,,,,,,,,,
