# Column 1: Latitude
# Column 2: Longitude
# Column 3: Gamma linear coefficient
# Column 4: Gamma quadratic coefficient
# Column 5: rho
            39.0           -78.0  0.004849595796 -0.000000977654  0.174816233870
            38.0           140.0  0.005929244455 -0.000001590014  0.322700594324
            44.0            11.0  0.004732441094 -0.000001076340  0.246143605116
            14.0           121.0  0.002319549997 -0.000000437292  0.168157438377
            31.0           121.0  0.005010223674 -0.000001282072  0.287207302489
            52.0             9.0  0.004858042178 -0.000001238526  0.233574511201
            41.0           -89.0  0.005482942103 -0.000001254029  0.175773634906
            44.0            10.0  0.004687818426 -0.000001049930  0.249910478483
            30.0            31.0  0.004256288892 -0.000000873548  0.494894912009
            52.0            -3.0  0.004932651020 -0.000001455735  0.361377254935
            43.0             5.0  0.004465866887 -0.000000985146  0.236560673888
            45.0            12.0  0.004642965858 -0.000001033037  0.226482742164
            36.0           138.0  0.004996680287 -0.000001220280  0.286060959322
            40.0           -80.0  0.005198265673 -0.000001102254  0.171576504061
            24.0           121.0  0.003175112773 -0.000000733203  0.178420874413
            45.0          -123.0  0.004229410211 -0.000000899670  0.247179721536
            55.0            -5.0  0.005257569728 -0.000001494601  0.591073444792
            59.0            30.0  0.005748426533 -0.000001243153  0.262293068016
            25.0          -101.0  0.003238692317 -0.000000555581  0.136891027879
            51.0            -3.0  0.004942787339 -0.000001476163  0.320296084657
            41.0            28.0  0.005292418045 -0.000001337828  0.367832926945
            55.0            12.0  0.005221840888 -0.000001306001  0.306166824641
            42.0           -89.0  0.005537531187 -0.000001273769  0.173079770157
            43.0           141.0  0.006230665634 -0.000001430760  0.346806311662
             4.0           -75.0  0.002515050284 -0.000000231598  0.245070563455
            54.0            -2.0  0.005123253523 -0.000001476298  0.457259951961
            41.0           -72.0  0.005516999626 -0.000001244969  0.253835881779
            47.0            19.0  0.004780855535 -0.000001077987  0.184215762403
            36.0           136.0  0.005319254890 -0.000001383475  0.293611532109
            43.0            11.0  0.004726458102 -0.000001059414  0.250292589943
            35.0           135.0  0.004946087336 -0.000001211358  0.296263528590
            37.0           140.0  0.005381210378 -0.000001383483  0.309327812728
            49.0             9.0  0.004837650998 -0.000001227131  0.189176565843
            50.0            14.0  0.004918418870 -0.000001170781  0.197843140129
           -27.0            27.0  0.002286505592  0.000000085675  0.257967565475
            53.0             8.0  0.004939686885 -0.000001258976  0.290071636584
            10.0           -67.0  0.003127238743 -0.000000597208  0.304897729914
            49.0            11.0  0.004880368951 -0.000001195371  0.212944045691
            32.0           130.0  0.004230150063 -0.000000972584  0.270796025362
           -38.0           145.0  0.001860354879 -0.000000022898  0.241173998723
            52.0             8.0  0.004840726754 -0.000001251844  0.246555414445
            28.0           -82.0  0.002677050038 -0.000000387823  0.176459535539
            39.0            -1.0  0.004545472622 -0.000000863185  0.213755397397
            51.0             8.0  0.004758733532 -0.000001244916  0.203688084818
            48.0            10.0  0.004842173311 -0.000001179584  0.205274711037
            35.0           -81.0  0.003559431015 -0.000000558110  0.198570606507
            50.0             3.0  0.004820328557 -0.000001291465  0.250632934743
            29.0           -99.0  0.002962001302 -0.000000473000  0.130139456892
            47.0             7.0  0.004794838563 -0.000001192844  0.185642169306
            44.0            26.0  0.005447650530 -0.000001297403  0.211046402781
            33.0            44.0  0.005644658797 -0.000001206525  0.378365085234
           -16.0           -48.0  0.002873300039 -0.000000270879  0.109431703150
            39.0           -87.0  0.004852489677 -0.000000999390  0.188878269195
            52.0            -1.0  0.004818976814 -0.000001455364  0.247100070317
            38.0          -123.0  0.004055363562 -0.000000847560  0.184621511930
            44.0             8.0  0.004604434624 -0.000001014155  0.247635968692
            41.0            -9.0  0.004470943410 -0.000001120016  0.272770247267
            40.0           -81.0  0.005146161710 -0.000001086683  0.167268129263
            38.0           -77.0  0.004226676079 -0.000000763513  0.181921676770
            33.0          -113.0  0.003561432062 -0.000000556587  0.085120682033
            51.0            -4.0  0.004977751746 -0.000001464725  0.387973395631
            41.0           -75.0  0.005410838040 -0.000001131617  0.168791677109
            52.0            10.0  0.004919877019 -0.000001235690  0.234651023840
            51.0            -2.0  0.004907822932 -0.000001487601  0.260194380815
           -34.0           -71.0  0.002056342670 -0.000000232590  0.030754975267
            36.0           137.0  0.005175825850 -0.000001313267  0.290409558274
            52.0             6.0  0.004842309921 -0.000001285381  0.286474176456
            40.0           -77.0  0.005212430848 -0.000001091795  0.169004201949
             3.0           101.0  0.001836577196 -0.000000168695  0.199673642153
            45.0           -94.0  0.005671618945 -0.000001123352  0.204455582925
            59.0            10.0  0.005271719908 -0.000001184048  0.287729282234
            38.0           -86.0  0.004375572199 -0.000000840440  0.204877395557
            49.0             2.0  0.004876338746 -0.000001277015  0.230832181543
            42.0            12.0  0.004691592321 -0.000001030135  0.251108688736
            43.0           -81.0  0.005917126675 -0.000001289169  0.162123350337
            39.0          -105.0  0.004118983424 -0.000000782879  0.163383136501
            28.0            77.0  0.003158186412 -0.000000564922  0.257389433034
            46.0             6.0  0.004760531569 -0.000001158453  0.194587583162
            20.0          -104.0  0.000928519187  0.000000515572  0.311358604843
            22.0           120.0  0.002748413261 -0.000000572987  0.164225132192
            24.0           120.0  0.003160149371 -0.000000699219  0.188725834003
            43.0            10.0  0.004706815015 -0.000001053694  0.261910553627
            35.0           -79.0  0.003562220784 -0.000000578809  0.192902634895
            37.0           -78.0  0.004084218545 -0.000000728544  0.183691381299
            50.0            30.0  0.005788201529 -0.000001402728  0.266041094048
            51.0             9.0  0.004787059077 -0.000001231289  0.198180140001
            45.0             5.0  0.004606852471 -0.000001077518  0.193143428883
            36.0           -77.0  0.003651123513 -0.000000646303  0.206691627347
            18.0           -67.0  0.002994231777 -0.000000635840  0.366456124863
            37.0            23.0  0.004852782678 -0.000001208036  0.365913711728
            50.0             5.0  0.004728872670 -0.000001266824  0.211127767992
            51.0            12.0  0.004906298561 -0.000001188838  0.199541944216
            39.0           -95.0  0.004905339483 -0.000001053224  0.184634882243
           -23.0           -48.0  0.002041509286 -0.000000073348  0.151306738788
            46.0             7.0  0.004749945935 -0.000001140941  0.202247840348
            42.0           -79.0  0.005878980249 -0.000001278369  0.163963914626
            39.0           -75.0  0.004321233834 -0.000000793462  0.212252815973
            39.0          -106.0  0.003939786480 -0.000000738565  0.152938159435
            42.0           -74.0  0.005893354636 -0.000001273229  0.172677360149
            49.0             7.0  0.004720945854 -0.000001231125  0.180132156451
           -27.0            28.0  0.001911243473  0.000000202956  0.247961943488
            36.0           127.0  0.004520149392 -0.000000824237  0.308092950580
            40.0            29.0  0.005407846866 -0.000001393689  0.363511093630
            48.0             7.0  0.004776371978 -0.000001219383  0.180334366613
            50.0            -2.0  0.004904765339 -0.000001423633  0.312347310559
            53.0            -7.0  0.005148441855 -0.000001473310  0.585645085312
            42.0           -71.0  0.006188094115 -0.000001488809  0.280106640416
